ApplicationName,LoggerName,RequestedURL,Details
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/authorizationprofile?cacheBust=1474516810271,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/sams/api/v1/authorizationprofile?cacheBust=1474516810271"",""transactionId"":""b714a07e-e857-4b28-aed2-fbf8a6da1db9"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/participantprofile?cacheBust=1474516810271,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/sams/api/v1/participantprofile?cacheBust=1474516810271"",""transactionId"":""89cee6e0-5fa7-4c6c-9d18-9e7a82fbad11"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/logout,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/logout"",""transactionId"":""d9c9356b-3946-4e35-894f-29d802b498d4"",""httpVerb"":""GET"",""message"":""Request Finished in 8 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/service/api/apissotoken,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/service/api/apissotoken"",""transactionId"":""a52025bd-c40a-4781-acea-2ed38cdb90ab"",""httpVerb"":""POST"",""message"":""Request Finished in 83 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/token?cacheBust=1474516811387,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/token?cacheBust=1474516811387"",""transactionId"":""0a11576c-6936-44de-a78f-e09ae87d82ef"",""httpVerb"":""GET"",""message"":""Request Finished in 1 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/authorizationprofile?cacheBust=1474516811470,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/authorizationprofile?cacheBust=1474516811470"",""transactionId"":""1ac346e2-ce8b-4a27-bc48-492e68fa5f6c"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/participantprofile?cacheBust=1474516811470,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/participantprofile?cacheBust=1474516811470"",""transactionId"":""517e1e49-6f43-474a-ba62-3287d5828110"",""httpVerb"":""GET"",""message"":""Request Finished in 5 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/spendingAccounts?cacheBust=1474516811387,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/spendingAccounts?cacheBust=1474516811387"",""transactionId"":""d3249928-d6d9-48aa-8339-405664b34eb5"",""httpVerb"":""GET"",""message"":""Request Finished in 220 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/Image,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/Image"",""transactionId"":""11fce4d5-f56f-4564-93c8-d5f9953de3ef"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/legal,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/legal"",""transactionId"":""48a32e9c-27cb-4f04-b248-b5af0c482be0"",""httpVerb"":""GET"",""message"":""Request Finished in 3 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/resources/header,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/resources/header"",""transactionId"":""271f1ae2-e8fd-4e08-89b1-c50c2e05834a"",""httpVerb"":""GET"",""message"":""Request Finished in 4 milliseconds""}"
